table_schema,table_name,policy_name,permissive,cmd,roles,using_expression,with_check_expression
public,user_organizations,Org admins can manage memberships,PERMISSIVE,ALL,{public},(is_platform_admin() OR is_org_admin(org_id)),null
public,user_organizations,Users can create their membership,PERMISSIVE,INSERT,{public},null,"((( SELECT auth.uid() AS uid) = user_id) OR (( SELECT auth.uid() AS uid) IN ( SELECT organizations.owner_id
   FROM organizations
  WHERE (organizations.id = user_organizations.org_id))))"
public,user_organizations,Users can view own memberships,PERMISSIVE,SELECT,{public},(( SELECT auth.uid() AS uid) = user_id),null
public,user_organizations,Users can view their org memberships,PERMISSIVE,SELECT,{public},(is_platform_admin() OR (user_id = ( SELECT auth.uid() AS uid)) OR is_org_admin(org_id)),null
public,user_organizations,Users can view their organization memberships,PERMISSIVE,SELECT,{authenticated},(is_authenticated() AND ((user_id = ( SELECT auth.uid() AS uid)) OR (org_id = ANY (get_user_org_ids(( SELECT auth.uid() AS uid)))))),null
public,user_organizations,block_anon_all_tables,PERMISSIVE,ALL,{anon},false,null
public,user_organizations,block_anon_user_organizations,PERMISSIVE,ALL,{anon},false,null
public,user_organizations,user_organizations_block_anonymous,PERMISSIVE,ALL,{anon},false,null
public,user_organizations,user_organizations_simple,PERMISSIVE,ALL,{authenticated},(user_id = ( SELECT auth.uid() AS uid)),(user_id = ( SELECT auth.uid() AS uid))
public,user_organizations,user_organizations_simple_policy,PERMISSIVE,ALL,{authenticated},(user_id = ( SELECT auth.uid() AS uid)),null
public,user_profiles,System can create user profiles,PERMISSIVE,INSERT,{public},null,true
public,user_profiles,Users can manage own profiles,PERMISSIVE,ALL,{public},(( SELECT auth.uid() AS uid) = id),null
public,user_profiles,Users can update own profile,PERMISSIVE,UPDATE,{public},(( SELECT auth.uid() AS uid) = id),null
public,user_profiles,Users can update their own profile,PERMISSIVE,UPDATE,{public},(id = ( SELECT auth.uid() AS uid)),null
public,user_profiles,Users can view own profile,PERMISSIVE,SELECT,{public},(( SELECT auth.uid() AS uid) = id),null
public,user_profiles,Users can view their own profile,PERMISSIVE,SELECT,{public},(id = ( SELECT auth.uid() AS uid)),null
storage,objects,Org admins can delete brand assets,PERMISSIVE,DELETE,{authenticated},"((bucket_id = 'email-brand-assets'::text) AND (split_part(name, '/'::text, 1) IN ( SELECT (user_organizations.org_id)::text AS org_id
   FROM user_organizations
  WHERE ((user_organizations.user_id = auth.uid()) AND (user_organizations.role = 'admin'::organization_role)))))",null
storage,objects,Org admins can delete template assets,PERMISSIVE,DELETE,{authenticated},"((bucket_id = 'email-templates'::text) AND (split_part(name, '/'::text, 1) IN ( SELECT (user_organizations.org_id)::text AS org_id
   FROM user_organizations
  WHERE ((user_organizations.user_id = auth.uid()) AND (user_organizations.role = 'admin'::organization_role)))))",null
storage,objects,Org admins can update brand assets,PERMISSIVE,UPDATE,{authenticated},"((bucket_id = 'email-brand-assets'::text) AND (split_part(name, '/'::text, 1) IN ( SELECT (user_organizations.org_id)::text AS org_id
   FROM user_organizations
  WHERE ((user_organizations.user_id = auth.uid()) AND (user_organizations.role = 'admin'::organization_role)))))",null
storage,objects,Org admins can update template assets,PERMISSIVE,UPDATE,{authenticated},"((bucket_id = 'email-templates'::text) AND (split_part(name, '/'::text, 1) IN ( SELECT (user_organizations.org_id)::text AS org_id
   FROM user_organizations
  WHERE ((user_organizations.user_id = auth.uid()) AND (user_organizations.role = 'admin'::organization_role)))))",null
storage,objects,Org admins can upload brand assets,PERMISSIVE,INSERT,{authenticated},null,"((bucket_id = 'email-brand-assets'::text) AND (split_part(name, '/'::text, 1) IN ( SELECT (user_organizations.org_id)::text AS org_id
   FROM user_organizations
  WHERE ((user_organizations.user_id = auth.uid()) AND (user_organizations.role = 'admin'::organization_role)))))"
storage,objects,Org admins can upload template assets,PERMISSIVE,INSERT,{authenticated},null,"((bucket_id = 'email-templates'::text) AND (split_part(name, '/'::text, 1) IN ( SELECT (user_organizations.org_id)::text AS org_id
   FROM user_organizations
  WHERE ((user_organizations.user_id = auth.uid()) AND (user_organizations.role = 'admin'::organization_role)))))"
storage,objects,Org members can view attachments,PERMISSIVE,SELECT,{authenticated},"((bucket_id = 'email-attachments'::text) AND (split_part(name, '/'::text, 1) IN ( SELECT (user_organizations.org_id)::text AS org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = auth.uid()))))",null
storage,objects,Org members can view brand assets,PERMISSIVE,SELECT,{authenticated},"((bucket_id = 'email-brand-assets'::text) AND (split_part(name, '/'::text, 1) IN ( SELECT (user_organizations.org_id)::text AS org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = auth.uid()))))",null
storage,objects,Org members can view template assets,PERMISSIVE,SELECT,{authenticated},"((bucket_id = 'email-templates'::text) AND (split_part(name, '/'::text, 1) IN ( SELECT (user_organizations.org_id)::text AS org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = auth.uid()))))",null
storage,objects,Users can upload attachments,PERMISSIVE,INSERT,{authenticated},null,"((bucket_id = 'email-attachments'::text) AND (split_part(name, '/'::text, 1) IN ( SELECT (user_organizations.org_id)::text AS org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = auth.uid()))))"
